hours_of_sleep,screen_time,caffeine_intake,steps_walked,stress_level,exercise_minutes,alcohol_units,ambient_light,weekday,bedtime_hour,late_bed,active,sleep_good_prob,sleep_quality
7.620892691264041,1.4072105448015113,2,8594,2,0,0,medium,weekday,23.08,1,1,0.2531260936777643,poor
6.827169623536019,2.230453730859983,1,10434,3,0,1,low,weekday,23.66,1,1,0.10192602472617351,poor
7.809610672625865,0.3337207429195171,1,1552,9,58,0,low,weekend,21.89,0,1,0.7058135448305944,good
8.903787320510032,2.93620616870867,2,3745,8,91,0,low,weekend,23.38,1,1,0.6610333387161207,good
6.7073082815958305,4.006255659211062,2,10560,3,56,0,low,weekday,23.14,1,1,0.10020684384577094,poor
6.707328803813525,4.790581826355487,0,6393,2,59,0,medium,weekday,20.5,0,1,0.5481494762344821,good
8.974016019384239,0.5003239740409658,2,8654,5,14,0,low,weekday,22.37,1,1,0.7454141213006815,good
7.959293411441136,1.294769931879764,2,12153,1,31,0,low,weekend,23.09,1,1,0.5004359473171407,good
6.41315701758131,4.474844499679115,0,3918,4,37,2,low,weekday,22.83,1,1,0.050023362415171135,poor
7.678200054482456,2.14312822472979,2,5702,8,7,0,low,weekday,23.47,1,0,0.14488516122686113,poor
6.420727883984422,3.943400082533163,0,5182,1,21,1,low,weekday,23.12,1,0,0.13206407448948576,poor
6.417837808037179,0.7861662118711152,2,136,5,0,0,high,weekday,23.51,1,0,0.0,poor
7.302452839457542,6.16900527628011,1,5068,4,15,0,medium,weekend,23.25,1,0,0.11271415887258274,poor
4.608399694177752,0.7255042831582676,2,8643,6,46,0,low,weekend,22.97,1,1,0.0,poor
4.843852709358709,2.873190858171087,0,7621,7,0,1,low,weekday,23.24,1,0,0.023396594568984685,poor
6.297140588448784,2.9283788411571017,1,7857,9,48,1,low,weekend,22.46,1,1,0.02903039604640345,poor
5.73396109958197,1.663689996955823,1,4873,1,0,0,medium,weekend,22.38,1,0,0.09908177511791438,poor
7.392809165744092,3.5405728215270074,1,4031,10,26,0,low,weekday,23.15,1,0,0.13120286661032654,poor
5.864969905598486,3.612146425838817,2,9807,4,28,0,medium,weekend,19.99,0,1,0.06836536401835647,poor
5.234620373330886,3.339505816287343,1,4508,6,39,1,low,weekday,22.44,1,1,0.00394788673853641,poor
8.832060961151942,1.638244502397149,1,6882,10,20,0,low,weekday,21.94,0,0,0.6788396047250165,good
6.717779624391831,1.3815785248821655,1,6490,7,0,0,medium,weekday,21.76,0,0,0.1415233248163047,poor
7.084410255859905,1.7882336811220387,2,10385,7,29,0,low,weekend,22.53,1,1,0.18740578347815573,poor
5.21906476723318,1.2216401345075338,3,8914,8,79,0,high,weekday,20.99,0,1,0.006790034211665241,poor
6.319521594343522,5.3598469683961465,0,2114,10,24,1,low,weekend,22.53,1,0,0.04039843289486633,poor
7.138653237137333,1.9172750117352073,1,2437,8,2,0,low,weekday,23.35,1,0,0.0973525805697305,poor
5.561258028222122,2.8127283834352266,1,7736,8,13,0,low,weekday,0.58,0,0,0.05778657385934782,poor
7.46962252293209,4.4623619127371255,0,5806,8,28,0,medium,weekend,2.3,0,0,0.5040385502202402,good
6.249201637601494,1.1687090040787802,1,4634,8,18,0,medium,weekend,20.26,0,0,0.15846753699168248,poor
6.6353828127584045,0.6945072888906483,1,9046,6,14,0,low,weekday,21.6,0,1,0.3037370631032843,poor
6.247866734713254,1.2254429602626509,0,6562,9,58,1,low,weekday,22.53,1,1,0.21350713805291666,poor
9.315347730636173,3.043695977609911,0,6157,3,37,0,low,weekday,23.21,1,1,0.9584125638012716,good
6.983128469077583,2.893935991467955,1,8339,6,22,0,low,weekday,23.55,1,1,0.22612750618328636,poor
5.6778613388051244,3.3349251520545136,1,4874,5,22,0,low,weekend,22.08,1,0,0.002930757150654273,poor
8.028181140128986,2.30539197224853,4,10705,8,29,0,low,weekday,19.21,0,1,0.08208314184619914,poor
5.473945437536222,0.12694089559128097,0,3635,4,39,0,low,weekday,0.55,0,1,0.2659014162186847,poor
7.261079493755944,2.24888077654572,0,7970,4,57,1,low,weekday,23.75,1,1,0.4554152988829001,poor
4.5504123451502805,4.874199116801837,3,10301,10,14,0,low,weekday,0.07,0,1,0.02884179441198942,poor
5.339767438876962,5.739048793319205,2,1868,10,0,1,low,weekday,22.68,1,0,0.0009538740383733257,poor
7.246076544836404,2.675644759106352,1,4969,5,11,0,low,weekday,23.53,1,0,0.14176183645833806,poor
7.923083224994263,2.901897557327959,1,9426,6,3,0,low,weekend,20.0,0,1,0.49873243462103645,poor
7.214210351487463,3.892070330636764,1,9471,4,0,0,medium,weekend,21.39,0,1,0.2770834894594896,poor
6.855439647014699,5.631066806611825,2,5485,2,60,1,low,weekday,0.79,0,1,0.05033575549894165,poor
6.623620380513389,2.5010225273061524,2,3795,2,46,1,low,weekday,23.05,1,1,0.06713789615610255,poor
5.151847512040716,3.854307998122624,1,8867,3,0,0,low,weekday,1.8,0,1,0.0,poor
6.100194739506614,1.5782547606703439,0,9550,2,30,0,medium,weekend,21.54,0,1,0.451513022841155,poor
6.424201536300266,0.8028913353508051,2,2506,1,15,0,low,weekday,2.83,0,0,0.06417589879953922,poor
8.321402782773644,1.720998358102273,3,2388,8,12,0,high,weekday,3.04,0,0,0.13099402967677298,poor
7.429522861960577,6.4993850942189635,1,6675,5,0,2,low,weekend,22.03,1,0,0.06083451388262018,poor
4.796199805796583,3.9088357443329627,1,7888,10,24,1,low,weekday,22.32,1,0,0.0,poor
7.405104961743493,0.8795696592062685,0,5102,1,26,0,low,weekday,0.88,0,0,0.6962396034453475,good
6.518647149479604,4.0361229131639185,1,8037,9,0,0,low,weekday,22.16,1,1,0.06476980546083344,poor
6.153847499617552,0.9458039135362133,0,3869,8,65,0,low,weekday,22.6,1,1,0.357335862935249,poor
7.764595361051085,3.3020509905127406,0,0,4,44,0,low,weekday,21.9,0,1,0.7961730011744954,good
8.288749403119938,1.128446992964615,1,4728,8,0,0,low,weekend,21.94,0,0,0.4913805030259165,poor
8.164100148895248,0.8316538651584957,1,6189,10,50,0,low,weekday,23.18,1,1,0.5870412677630652,good
5.950978095971702,7.220956150575261,0,5172,7,13,0,low,weekday,22.59,1,0,0.1062313713759766,poor
6.613484530185982,1.9161009686891617,1,2524,7,51,1,low,weekday,19.87,0,1,0.10763439917099571,poor
7.414079289254455,3.8594290629223673,0,553,1,0,1,low,weekend,1.16,0,0,0.317999384610271,poor
8.219431408902949,2.5800797802635396,0,4457,6,29,1,medium,weekend,1.4,0,0,0.5982967226773643,good
6.401032202693387,1.0181460194483267,2,8692,4,0,1,low,weekday,23.77,1,1,0.05205238990530858,poor
6.767926279170228,2.0829330473994108,2,9768,10,4,0,low,weekday,23.19,1,1,0.052040443483561516,poor
5.617081282492465,1.026508285291654,0,9563,10,0,1,low,weekday,21.6,0,1,0.10775529876701251,poor
5.504741719899162,10.686686888525097,2,3552,10,0,0,low,weekday,22.31,1,0,0.025550230477632052,poor
8.015657277992748,4.347966859672508,0,2538,2,0,1,low,weekday,0.63,0,0,0.4342658429323537,poor
8.69530003571353,2.5437578604779914,0,7489,10,0,0,low,weekday,23.9,1,0,0.6974308490876286,good
6.909987348024583,3.7162089961579543,1,7905,7,29,1,low,weekend,23.68,1,0,0.04275755969228534,poor
8.25441612236503,4.156970082679976,1,7200,9,0,0,medium,weekday,23.75,1,0,0.26347408128734673,poor
7.4520450313095425,4.16459696753258,0,0,5,32,0,low,weekday,0.59,0,1,0.5350992625206479,good
6.193600306743595,4.042470606410751,3,3399,8,50,0,low,weekday,0.37,0,1,0.03727357209934712,poor
7.451744506885517,3.8300850086540805,0,5910,5,2,0,medium,weekday,0.03,0,0,0.4936168451229179,poor
8.922545708082462,2.7024766944462097,1,7461,7,22,0,low,weekday,22.48,1,0,0.7072571374584435,good
6.955217451112561,6.85934268568233,1,8301,7,16,0,medium,weekday,1.53,0,1,0.0978025600315533,poor
8.955804569767508,2.8328235354305624,1,6432,9,14,1,low,weekday,22.27,1,0,0.4176604799733362,poor
3.7253186198878194,2.5998440607724493,1,6992,3,0,0,low,weekend,21.7,0,0,0.010894717983302438,poor
8.02737813046903,2.8509224921596448,1,6254,1,0,0,medium,weekend,22.15,1,0,0.47391774671889386,poor
7.108808835297714,3.002794691356889,1,8056,2,61,0,medium,weekday,21.21,0,1,0.5544315067408891,good
6.626240811917666,0.5047468461787972,2,6938,6,33,0,low,weekday,23.88,1,1,0.13879653659327107,poor
7.114700970669378,1.214353703207586,1,6197,10,18,0,low,weekday,22.98,1,0,0.16688256069580099,poor
4.5155388567488846,2.3053314162394174,2,5194,10,0,0,low,weekday,0.69,0,0,0.0,poor
6.72541014020311,0.47708708513514086,0,6243,9,39,2,low,weekday,19.33,0,1,0.20679304611810823,poor
7.446390714389683,2.5406650254644876,0,7453,3,2,0,medium,weekend,23.32,1,0,0.48927554078736935,poor
8.847367555926896,2.9738902225066073,1,6802,10,0,1,low,weekday,22.61,1,0,0.2572368319419709,poor
6.35216222715794,0.7675927917473783,1,7142,2,0,0,low,weekend,22.48,1,0,0.13668096953894415,poor
5.989382996383515,1.486295464710476,1,10028,1,37,1,medium,weekday,21.44,0,1,0.18901452066338265,poor
6.3728036955193295,5.893793135066417,1,6795,2,23,0,medium,weekend,23.07,1,0,0.026965976907210698,poor
8.144252647127592,3.7429379703689687,1,4053,3,46,0,low,weekday,21.85,0,1,0.63409659831575,good
7.410938887074606,3.5942366772524705,0,8650,7,53,0,medium,weekend,1.28,0,1,0.6810990847774958,good
6.337799745291202,5.421639545466425,0,1901,2,6,1,low,weekday,23.94,1,0,0.04615261461977349,poor
7.641584291391695,1.2355838438896036,1,2755,5,23,0,low,weekend,0.47,0,0,0.5033342086922828,good
7.12134693668505,0.7698749906618483,1,7007,2,17,1,low,weekday,20.39,0,0,0.2537171217691139,poor
8.21080623816611,4.940798457168009,3,7549,7,0,0,low,weekday,0.33,0,0,0.08303857164594142,poor
6.122433632653309,2.355786900126503,0,2264,10,0,0,medium,weekday,0.19,0,0,0.1462068643797505,poor
6.5904223167527896,1.2064185312492448,0,4851,8,20,0,medium,weekday,22.39,1,0,0.3051863213607827,poor
6.509864808584803,0.5002569509582103,0,4181,8,23,0,low,weekday,22.72,1,0,0.28468325452398047,poor
5.170606314834852,2.875084458591827,1,4539,8,23,1,medium,weekday,21.53,0,0,0.031200778445785282,poor
7.37015034633072,2.1497530622433514,2,8830,10,23,0,low,weekday,22.54,1,1,0.09632827558169332,poor
7.326319090224862,1.8697282145053995,1,8119,9,4,0,low,weekday,23.85,1,1,0.22711820522517434,poor
7.006391820803076,0.19724557412466315,0,5942,1,78,0,low,weekday,22.0,1,1,0.8201973329716084,good
6.7067660832810665,6.800357611757513,1,4362,1,30,0,medium,weekend,23.05,1,1,0.11761149469861398,poor
5.230786572436982,0.6320965364481872,2,1951,10,10,0,low,weekend,2.82,0,0,0.0,poor
6.474193346543301,2.018365812786049,0,10260,2,35,0,low,weekday,21.53,0,1,0.5765150926366326,good
6.571606854341538,1.75749370840499,1,7776,6,3,0,low,weekday,23.5,1,0,0.07179871793328041,poor
5.997153413472976,3.821699230666256,0,3879,1,25,0,low,weekend,21.45,0,0,0.18731410370735235,poor
6.798392860417488,0.506601611765826,3,8158,5,35,0,medium,weekend,20.77,0,1,0.15056735450604553,poor
7.505063571018173,3.5060436130138264,2,5789,5,38,0,low,weekday,0.2,0,1,0.28896010756154955,poor
9.357732376513162,2.8856524260065584,2,5138,4,0,0,low,weekend,22.39,1,0,0.5722264306942789,good
7.218222266039799,1.4247035645103536,1,7305,5,100,1,high,weekday,1.4,0,1,0.5014795652964713,good
7.321937988403455,3.418741182810952,1,3775,1,54,1,low,weekend,23.85,1,1,0.25184959864949485,poor
6.906942605292291,2.5372631323192505,3,4968,6,75,1,medium,weekday,21.82,0,1,0.053553490857780384,poor
4.601535980876198,7.874733595304269,1,6364,7,18,2,low,weekday,21.68,0,0,0.00864205042759314,poor
6.966857655688479,2.1482391292597525,0,4501,8,31,0,low,weekday,0.08,0,1,0.5729306609784502,good
7.075287762426283,1.0676036373738502,1,8007,2,25,0,medium,weekday,21.42,0,1,0.5221034033631722,good
10.079052640606609,3.5309314740058118,1,11607,7,11,0,low,weekday,21.38,0,1,0.8913140050233417,good
